話	talk	wa	hana(su), hanashi	JDIC_Audio_All/はなし - 話.mp3	ワ	はなす,はなし	tale; talk
数	number	suu, su	kazu, kazo(eru)	JDIC_Audio_All/かず - 数.mp3	スウ,ス	かず,かぞえる	number; strength; fate; law; figures
色	color	shoku, shiki	iro	JDIC_Audio_All/いろ - 色.mp3	ショク,シキ	いろ	color
食	eat	shoku, jiki	ku(u), ku(rau), ta(beru)	JDIC_Audio_All/しょく - 食.mp3	ショク,ジキ	くう,くらう	eat; food
心	heart	shin	kokoro	JDIC_Audio_All/しん - 心.mp3	シン	こころ,-ごころ	heart; mind; spirit; heart radical (no. 61)
新	new	shin	atara(shii), ara(ta), nii	JDIC_Audio_All/しん - 新.mp3	シン	あたらしい,あらた	new
親	parent	shin	oya, shita(shii), shita(shimu)	JDIC_Audio_All/おや - 親.mp3	シン	おや,おや-	parent; intimacy; relative; familiarity; dealer (cards)
場	location	joo	ba	JDIC_Audio_All/ば - 場.mp3	ジョウ,チョウ	ば	location; place
書	write	sho	ka(ku)	JDIC_Audio_All/しょ - 書.mp3	ショ	かく,-がき	write
少	few	shoo	suku(nai), suko(shi)	JDIC_Audio_All/すこし - 少し.mp3	ショウ	すくない,すこし	few; little
春	spring (season)	shun	haru	JDIC_Audio_All/はる - 春.mp3	シュン	はる	springtime; spring (season)
週	week	shuu	syou	JDIC_Audio_All/しゅう - 週.mp3	シュウ	シュウ	week
首	neck	shu	kubi	JDIC_Audio_All/こうべ - 首.mp3	シュ	くび	neck; counter for songs and poems
秋	autumn	shuu	aki	JDIC_Audio_All/あき - 秋.mp3	シュウ	あき,とき	autumn
弱	weak	jaku	yowa(i), yowa(ru), yowa(maru), yowa(meru)	JDIC_Audio_All/じゃく - 弱.mp3	ジャク	よわい,よわる	weak; frail
社	company	sha	yashiro	JDIC_Audio_All/やしろ - 社.mp3	シャ	やしろ	company; firm; office; association; shrine
自	oneself	ji, shi	mizuka(ra)	JDIC_Audio_All/みずから - 自ら.mp3	ジ,シ	みずから,おのずから	oneself
室	room	shitsu	muro	JDIC_Audio_All/むろ - 室.mp3	シツ	むろ	room; apartment; chamber; greenhouse; cellar
